smr_U	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
6.3	Ecuador	1.8764707776837255	1.1839932813493	2.484986714931419	1609.0167501277806	1248.643014669741	1946.2105302063555	857.4696548772881	575.4639539851272	1398.584877938127	1	4489.5132773443265	2247.132117348427	6528.976983045181	1	1	1	severe
6.3	Ecuador	0.755233821107348	0.5696077580071948	0.9448555919060552	1609.0167501277806	1248.643014669741	1946.2105302063555	2130.488207967949	1507.9674399910618	3004.243877364319	1	845.4931684711008	150.3799943606712	1579.6993601025831	0.991	1	1	less_severe
6.3	Ecuador	0.9088432841583118	0.7015748845769987	1.1085057645576162	1609.0167501277806	1248.643014669741	1946.2105302063555	1770.4006600190767	1278.047173520859	2476.473679847239	1	1344.7239233867328	573.5812441490486	2081.214523062179	1	1	1	mixed
6.3	UK	0.22301985830765472	0.14405185928568548	0.3002378002114051	1300.8049600566358	1007.6342213015744	1584.9143338942993	5832.686694035031	3907.6757925008264	9516.376720137538	1	4163.181568480905	2225.3793456494927	6071.345838083052	1	1	1	severe
6.3	UK	0.07970667237126108	0.05988273246257663	0.10136728430147471	1300.8049600566358	1007.6342213015744	1584.9143338942993	16319.900472041936	11386.48659855459	23014.65186009739	1	652.0085130392612	85.29437418726543	1248.834483541146	0.99	1	1	less_severe
6.3	UK	0.09934057884454703	0.07803722739143464	0.12162314259469782	1300.8049600566358	1007.6342213015744	1584.9143338942993	13094.39682339881	9505.52389791996	18101.465040386636	1	1133.0392216347664	518.447221300103	1724.210966076879	1	1	1	mixed
8	Nigeria	3.5866455559461032	2.903599016042289	4.236534341876217	2798.590644061266	2187.020871125846	3393.0938909420815	780.2807945216766	578.3336167713636	1041.6702191200948	1	788.054911884837	-120.02127367895962	1702.691155049693	0.953	1	1	severe
8	Nigeria	2.6767731718468823	2.2540341045328773	3.070933335804128	2798.590644061266	2187.020871125846	3393.0938909420815	1045.509075440387	788.1482719152181	1335.9818960105622	1	-121.817472214384	-827.8879887944669	611.0777590132633	0.368	1	1	less_severe
8	Nigeria	2.8014256884684756	2.366648864128952	3.191539029897525	2798.590644061266	2187.020871125846	3393.0938909420815	998.9879994251215	753.3804442881803	1278.8601972672507	1	2.835044407209326	-720.3142446339746	749.9484297434004	0.505	1	1	mixed
8	Ecuador	2.125156143655709	1.4408792223305975	2.728521990222565	1611.4131298956847	1251.7996417761099	1948.087885829709	758.2563449308342	521.4983977461429	1170.6281219882758	1	5295.344336985369	3036.154352721014	7339.865190841937	1	1	1	severe
