scenario_id	group	label	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
SMR-U-EQ-T	Untreated mortality	Untreated SMR equal to treated with continuing seizures	Ecuador	0.31773433442855703	0.1580278101332979	0.4922233239616245	1603.669428733007	1241.387670618482	1942.3129191632415	5047.2021905256015	3060.9567796990423	10251.21525167179	1	-571.0328418401966	-1231.6837061042615	93.7424599096989	0.047	0.76	0.997	mixed
SMR-U-EQ-T	Untreated mortality	Untreated SMR equal to treated with continuing seizures	UK	0.1812107359891538	0.10569095781407398	0.2575007002956237	1298.437328031246	1005.200844531035	1582.848799341728	7165.344376223728	4535.111950671376	12919.518597888673	1	3141.2257037030217	1217.8078352692198	5088.43731359259	1	1	1	severe
SMR-U-EQ-T	Untreated mortality	Untreated SMR equal to treated with continuing seizures	UK	0.03577459836619096	0.018518905678830525	0.05588948088031914	1298.437328031246	1005.200844531035	1582.848799341728	36294.951930427356	20944.8839598784	73687.5185480101	1	-421.95966805956726	-960.7709850749885	179.05845275125978	0.072	0.802	1	less_severe
SMR-U-EQ-T	Untreated mortality	Untreated SMR equal to treated with continuing seizures	UK	0.055699349220536876	0.036458097592456634	0.07697025856474031	1298.437328031246	1005.200844531035	1582.848799341728	23311.5349856278	15608.71600709012	38079.45820385847	1	66.19672787190747	-506.42899832096725	677.1413077123669	0.583	0.999	1	mixed
SMR-BEST	Untreated mortality	Best case: untreated 10.0, treated 1.84, seizure-free 0.68	Nigeria	4.649562787659165	4.054898726189346	5.217242560937988	2891.9575458114905	2266.5492053918165	3479.1265405045497	621.9848355392259	471.3367804161169	796.2379233653846	1	1757.6052418476747	870.5528790787918	2627.018356495124	1	1	1	severe
SMR-BEST	Untreated mortality	Best case: untreated 10.0, treated 1.84, seizure-free 0.68	Nigeria	3.791855231909162	3.510941460786903	4.0566792007314385	2891.9575458114905	2266.5492053918165	3479.1265405045497	762.6761489930136	592.7311677266055	948.595212187588	1	899.8976860976719	181.02235888378263	1597.519437921493	0.996	1	1	less_severe
SMR-BEST	Untreated mortality	Best case: untreated 10.0, treated 1.84, seizure-free 0.68	Nigeria	3.9093611670469124	3.6256209496163034	4.193774891462694	2891.9575458114905	2266.5492053918165	3479.1265405045497	739.7519498041269	574.391394031226	925.0332057373546	1	1017.4036212354223	283.9855432604996	1721.6852711465647	0.999	1	1	mixed
SMR-BEST	Untreated mortality	Best case: untreated 10.0, treated 1.84, seizure-free 0.68	Ecuador	2.530508187932717	1.8764095871413158	3.141499718069306	1624.2714138803356	1262.1618812669099	1961.0590093262367	641.8755812077708	457.96615713475194	922.1891467717344	1	6599.880196900995	4486.785773244306	8635.30347474982	1	1	1	severe
SMR-BEST	Untreated mortality	Best case: untreated 10.0, treated 1.84, seizure-free 0.68	Ecuador	1.4395896563508155	1.2713076386310078	1.6217388321431543	1624.2714138803356	1262.1618812669099	1961.0590093262367	1128.2877775029767	854.4832655186311	1449.547741386597	1	3054.394969259815	2336.985820401548	3773.4107755111845	1	1	1	less_severe
SMR-BEST	Untreated mortality	Best case: untreated 10.0, treated 1.84, seizure-free 0.68	Ecuador	1.589045495177536	1.3999582261266943	1.782899397817834	1624.2714138803356	1262.1618812669099	1961.0590093262367	1022.1679736733176	770.9563517851878	1312.7732938271342	1	3540.1264454466564	2762.4788118889487	4259.157816128516	1	1	1	mixed
