country	setting	severity	gap	quantity	n_draws	estimate	mc_se	mc_lo	mc_hi
Nigeria	LMIC	less_severe	0.8	p_ce_1x	1000	0	0	0	0.0038268985863905225
Nigeria	LMIC	less_severe	0.8	p_ce_3x	1000	0	0	0	0.0038268985863905225
Nigeria	LMIC	less_severe	0.8	p_ce_oc	1000	0	0	0	0.0038268985863905225
Nigeria	LMIC	mixed	0.2	daly_averted	1000	2.012495715722087	0.023571604882320338	1.966295370152739	2.058696061291435
Nigeria	LMIC	mixed	0.2	incr_cost	1000	2781.033723755944	10.090106485891964	2761.2571150435956	2800.810332468292
Nigeria	LMIC	mixed	0.2	p_benefit	1000	0.999	9.994998749374613e-4	0.9943572970398398	0.9998234581709429
Nigeria	LMIC	mixed	0.2	p_ce_1x	1000	0.779	0.01312093746650749	0.7522423161766015	0.8036222744121927
Nigeria	LMIC	mixed	0.2	p_ce_3x	1000	0.976	0.004839834707921338	0.9645368449129426	0.9838199476328138
Nigeria	LMIC	mixed	0.2	p_ce_oc	1000	0.18	0.012149074038789953	0.1574265005851786	0.20502271451011134
Nigeria	LMIC	mixed	0.30000000000000004	daly_averted	1000	1.6770797631017391	0.019643004068600263	1.6385794751272826	1.7155800510761956
Nigeria	LMIC	mixed	0.30000000000000004	incr_cost	1000	2317.528103129953	8.408422071576638	2301.0475958696625	2334.008610390243
Nigeria	LMIC	mixed	0.30000000000000004	p_benefit	1000	0.999	9.994998749374613e-4	0.9943572970398398	0.9998234581709429
Nigeria	LMIC	mixed	0.30000000000000004	p_ce_1x	1000	0.779	0.01312093746650749	0.7522423161766015	0.8036222744121927
Nigeria	LMIC	mixed	0.30000000000000004	p_ce_3x	1000	0.976	0.004839834707921338	0.9645368449129426	0.9838199476328138
Nigeria	LMIC	mixed	0.30000000000000004	p_ce_oc	1000	0.18	0.012149074038789953	0.1574265005851786	0.20502271451011134
Nigeria	LMIC	mixed	0.4	daly_averted	1000	1.3416638104813914	0.015714403254880216	1.3108635801018262	1.3724640408609565
Nigeria	LMIC	mixed	0.4	incr_cost	1000	1854.0224825039622	6.7267376572613085	1840.83807669573	1867.2068883121945
Nigeria	LMIC	mixed	0.4	p_benefit	1000	0.999	9.994998749374613e-4	0.9943572970398398	0.9998234581709429
Nigeria	LMIC	mixed	0.4	p_ce_1x	1000	0.779	0.01312093746650749	0.7522423161766015	0.8036222744121927
Nigeria	LMIC	mixed	0.4	p_ce_3x	1000	0.976	0.004839834707921338	0.9645368449129426	0.9838199476328138
Nigeria	LMIC	mixed	0.4	p_ce_oc	1000	0.18	0.012149074038789953	0.1574265005851786	0.20502271451011134
Nigeria	LMIC	mixed	0.5	daly_averted	1000	1.0062478578610436	0.011785802441160169	0.9831476850763697	1.0293480306457177
Nigeria	LMIC	mixed	0.5	incr_cost	1000	1390.516861877972	5.045053242945978	1380.6285575217978	1400.405166234146
Nigeria	LMIC	mixed	0.5	p_benefit	1000	0.999	9.994998749374613e-4	0.9943572970398398	0.9998234581709429
Nigeria	LMIC	mixed	0.5	p_ce_1x	1000	0.779	0.01312093746650749	0.7522423161766015	0.8036222744121927
Nigeria	LMIC	mixed	0.5	p_ce_3x	1000	0.976	0.004839834707921338	0.9645368449129426	0.9838199476328138
Nigeria	LMIC	mixed	0.5	p_ce_oc	1000	0.18	0.012149074038789953	0.1574265005851786	0.20502271451011134
Nigeria	LMIC	mixed	0.6000000000000001	daly_averted	1000	0.6708319052406955	0.007857201627440108	0.6554317900509129	0.686232020430478
Nigeria	LMIC	mixed	0.6000000000000001	incr_cost	1000	927.0112412519809	3.363368828630653	920.4190383478648	933.603444156097
Nigeria	LMIC	mixed	0.6000000000000001	p_benefit	1000	0.999	9.994998749374613e-4	0.9943572970398398	0.9998234581709429
Nigeria	LMIC	mixed	0.6000000000000001	p_ce_1x	1000	0.779	0.01312093746650749	0.7522423161766015	0.8036222744121927
Nigeria	LMIC	mixed	0.6000000000000001	p_ce_3x	1000	0.976	0.004839834707921338	0.9645368449129426	0.9838199476328138
Nigeria	LMIC	mixed	0.6000000000000001	p_ce_oc	1000	0.18	0.012149074038789953	0.1574265005851786	0.20502271451011134
Nigeria	LMIC	mixed	0.7	daly_averted	1000	0.3354159526203481	0.003928600813720055	0.32771589502545684	0.3431160102152394
Nigeria	LMIC	mixed	0.7	incr_cost	1000	463.505620625991	1.6816844143153282	460.20951917393296	466.80172207804907
Nigeria	LMIC	mixed	0.7	p_benefit	1000	0.999	9.994998749374613e-4	0.9943572970398398	0.9998234581709429
Nigeria	LMIC	mixed	0.7	p_ce_1x	1000	0.779	0.01312093746650749	0.7522423161766015	0.8036222744121927
Nigeria	LMIC	mixed	0.7	p_ce_3x	1000	0.976	0.004839834707921338	0.9645368449129426	0.9838199476328138
Nigeria	LMIC	mixed	0.7	p_ce_oc	1000	0.18	0.012149074038789953	0.1574265005851786	0.20502271451011134
Nigeria	LMIC	mixed	0.8	daly_averted	1000	0	0	0	0
Nigeria	LMIC	mixed	0.8	incr_cost	1000	0	0	0	0
Nigeria	LMIC	mixed	0.8	p_benefit	1000	0	0	0	0.0038268985863905225
Nigeria	LMIC	mixed	0.8	p_ce_1x	1000	0	0	0	0.0038268985863905225
Nigeria	LMIC	mixed	0.8	p_ce_3x	1000	0	0	0	0.0038268985863905225
Nigeria	LMIC	mixed	0.8	p_ce_oc	1000	0	0	0	0.0038268985863905225
Nigeria	LMIC	severe	0.2	daly_averted	1000	2.845787797476249	0.023913471300806066	2.7989173937266694	2.892658201225829
Nigeria	LMIC	severe	0.2	incr_cost	1000	2781.033723755944	10.090106485891964	2761.2571150435956	2800.810332468292
Nigeria	LMIC	severe	0.2	p_benefit	1000	1	0	0.9961731014136095	1
Nigeria	LMIC	severe	0.2	p_ce_1x	1000	0.968	0.005565608681896351	0.9551749890510055	0.977243033872133
Nigeria	LMIC	severe	0.2	p_ce_3x	1000	1	0	0.9961731014136095	1
Nigeria	LMIC	severe	0.2	p_ce_oc	1000	0.538	0.015765658882520576	0.5070127271855177	0.5686964285219166
Nigeria	LMIC	severe	0.30000000000000004	daly_averted	1000	2.3714898312302077	0.01992789275067171	2.3324311614388913	2.410548501021524
Nigeria	LMIC	severe	0.30000000000000004	incr_cost	1000	2317.528103129953	8.408422071576638	2301.0475958696625	2334.008610390243
Nigeria	LMIC	severe	0.30000000000000004	p_benefit	1000	1	0	0.9961731014136095	1
Nigeria	LMIC	severe	0.30000000000000004	p_ce_1x	1000	0.968	0.005565608681896351	0.9551749890510055	0.977243033872133
Nigeria	LMIC	severe	0.30000000000000004	p_ce_3x	1000	1	0	0.9961731014136095	1
Nigeria	LMIC	severe	0.30000000000000004	p_ce_oc	1000	0.538	0.015765658882520576	0.5070127271855177	0.5686964285219166
Nigeria	LMIC	severe	0.4	daly_averted	1000	1.8971918649841664	0.01594231420053737	1.8659449291511132	1.9284388008172195
Nigeria	LMIC	severe	0.4	incr_cost	1000	1854.0224825039622	6.7267376572613085	1840.83807669573	1867.2068883121945
Nigeria	LMIC	severe	0.4	p_benefit	1000	1	0	0.9961731014136095	1
Nigeria	LMIC	severe	0.4	p_ce_1x	1000	0.968	0.005565608681896351	0.9551749890510055	0.977243033872133
Nigeria	LMIC	severe	0.4	p_ce_3x	1000	1	0	0.9961731014136095	1
Nigeria	LMIC	severe	0.4	p_ce_oc	1000	0.538	0.015765658882520576	0.5070127271855177	0.5686964285219166
Nigeria	LMIC	severe	0.5	daly_averted	1000	1.4228938987381248	0.011956735650403037	1.399458696863335	1.4463291006129146
Nigeria	LMIC	severe	0.5	incr_cost	1000	1390.516861877972	5.045053242945978	1380.6285575217978	1400.405166234146
Nigeria	LMIC	severe	0.5	p_benefit	1000	1	0	0.9961731014136095	1
Nigeria	LMIC	severe	0.5	p_ce_1x	1000	0.968	0.005565608681896351	0.9551749890510055	0.977243033872133
Nigeria	LMIC	severe	0.5	p_ce_3x	1000	1	0	0.9961731014136095	1
Nigeria	LMIC	severe	0.5	p_ce_oc	1000	0.538	0.015765658882520576	0.5070127271855177	0.5686964285219166
Nigeria	LMIC	severe	0.6000000000000001	daly_averted	1000	0.9485959324920831	0.007971157100268684	0.9329724645755565	0.9642194004086097
Nigeria	LMIC	severe	0.6000000000000001	incr_cost	1000	927.0112412519809	3.363368828630653	920.4190383478648	933.603444156097
Nigeria	LMIC	severe	0.6000000000000001	p_benefit	1000	1	0	0.9961731014136095	1
Nigeria	LMIC	severe	0.6000000000000001	p_ce_1x	1000	0.968	0.005565608681896351	0.9551749890510055	0.977243033872133
Nigeria	LMIC	severe	0.6000000000000001	p_ce_3x	1000	1	0	0.9961731014136095	1
Nigeria	LMIC	severe	0.6000000000000001	p_ce_oc	1000	0.538	0.015765658882520576	0.5070127271855177	0.5686964285219166
Nigeria	LMIC	severe	0.7	daly_averted	1000	0.47429796624604204	0.003985578550134345	0.46648623228777875	0.4821097002043053
Nigeria	LMIC	severe	0.7	incr_cost	1000	463.505620625991	1.6816844143153282	460.20951917393296	466.80172207804907
Nigeria	LMIC	severe	0.7	p_benefit	1000	1	0	0.9961731014136095	1
